Artist,Track,Album,Album_type,Duration_min,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
Girls' Generation,Genie,Oh! - The Second Album,album,3.820883333,Girls' Generation      '        (Genie)' MV,SMTOWN,82699790,595700,38406,TRUE,TRUE,18042808,1.176470588,Youtube
Sam Smith,Unholy (feat. Kim Petras),Gloria,album,2.615716667,"Sam Smith, Kim Petras - Unholy (Official Music Video)",SamSmithVEVO,120035045,2313581,48960,TRUE,TRUE,771282498,1.53820598,Spotify
Sam Smith,I'm Not The Only One,In The Lonely Hour,album,3.988616667,Sam Smith - I'm Not The Only One (Official Music Video),SamSmithVEVO,1509259073,6256519,137631,TRUE,TRUE,1446878711,6.331592689,Youtube
Sam Smith,Stay With Me,In The Lonely Hour,album,2.878733333,Sam Smith - Stay With Me (Official Music Video),SamSmithVEVO,1163047373,5390380,127141,TRUE,TRUE,1682210631,3.818181818,Spotify
Sam Smith,Too Good At Goodbyes,The Thrill Of It All (Special Edition),album,3.35,Sam Smith - Too Good At Goodbyes (Official Music Video),SamSmithVEVO,1396618983,6834635,133642,TRUE,TRUE,1646495621,2.201183432,Spotify
Sam Smith,Like I Can,In The Lonely Hour,album,2.784433333,Sam Smith - Like I Can (Official Video),SamSmithVEVO,139179202,831927,11404,TRUE,TRUE,645144638,5.056451613,Spotify
Sam Smith,Gimme (feat. Koffee & Jessie Reyez),Gloria,album,2.832883333,"Sam Smith, Koffee, Jessie Reyez - Gimme",SamSmithVEVO,2600969,63098,2783,TRUE,TRUE,13385723,1.034802784,Spotify
Sam Smith,I'm Not Here To Make Friends,Gloria,album,3.82675,Sam Smith - I'm Not Here To Make Friends,SamSmithVEVO,4847763,157076,29888,TRUE,TRUE,7259295,2.188264059,Spotify
Sam Smith,Fire On Fire,Love Goes,album,4.11225,Sam Smith - Fire On Fire (From Watership Down),SamSmithVEVO,275040863,2626287,47223,TRUE,TRUE,531694147,2.266666667,Spotify
Sam Smith,Have Yourself A Merry Little Christmas,Have Yourself A Merry Little Christmas,single,2.8494,Sam Smith - Have Yourself A Merry Little Christmas (Official Music Video),SamSmithVEVO,28456794,202683,5510,TRUE,TRUE,281631616,0.563291139,Spotify
Sam Smith,Promises (with Sam Smith),Promises (with Sam Smith),single,3.55515,"Calvin Harris, Sam Smith - Promises (Official Video)",CalvinHarrisVEVO,216485413,1320684,24555,TRUE,TRUE,926352296,2.363076923,Spotify
Adele,Easy On Me,30,album,3.744916667,Adele - Easy On Me (Official Video),AdeleVEVO,328122505,6592184,257298,TRUE,TRUE,1198067568,2.751879699,Spotify
Adele,Set Fire to the Rain,21,album,4.049566667,Adele - Set Fire To The Rain Official Video,Yiye Alor,3072498,31514,1268,FALSE,FALSE,925812543,5.982142857,Spotify
Adele,Oh My God,30,album,3.752483333,Adele - Oh My God (Official Video),AdeleVEVO,89333806,1390542,38816,TRUE,TRUE,400558171,27.46212121,Spotify
Adele,Someone Like You,21,album,4.754,Adele - Someone Like You (Official Music Video),AdeleVEVO,1958083020,9737198,352687,TRUE,TRUE,1468111036,3.202811245,Youtube
Adele,Rolling in the Deep,21,album,3.80155,Adele - Rolling in the Deep (Official Music Video),AdeleVEVO,2160008518,11603960,411966,TRUE,TRUE,1303798870,16.25792812,Youtube
